ID USER,ID QUESTION,Question_Category,QUESTION,USER ANSWER,CORRECT ANSWER,Duration
1,512,PK,"3, − 5, − 1, − 4, 7, − 1, − 9, 8, A, B

Nilai dari 2A − B adalah",2,1,44
1,541,PK,"Nadia balls are more than Bintang. If Bintang has x balls and Nadia gives 5 balls Bintang  they will have same balls’, Now Nadia’s balls",2,2,12
1,119,PU,"Dino menambungkan uangnya di bank sebesar Rp 840.000,- dengan bunga 12% per tahun. Jika Dino ingin uang tabungannya menjadi Rp. 915.600,00, maka waktu yang diperlukan oleh Didu adalah ….. bulan",0,3,51
1,368,PPU,"Karen adalah seorang remaja gereja yang memiliki paras bagai bidadari dan hati bagai merpati. Dia suka sekali membantu orang dan menyemangati orang. Kehidupan percintaan seorang Karen dengan orang lain memang rumit. Ada seorang brengsek bernama Candra mencoba untuk mendekati dirinya. Ekspektasi seorang Candra yang terlalu tinggi tanpa disadari ternyata berhasil untuk terwujud.

Karena perbedaan yang sangat jauh, pasangan ini akhirnya menjadi buah bibir di masyarakat. Namun, mereka tidak peduli dan mencoba menjalankan kehidupan mereka sebagai insan yang berbahagia. Sayangnya, mereka harus berpisah karena Candra mengejutkan semua orang dengan berhasil masuk Universitas Gudang Mantu (Yu Ji Em) lewat jalur SBMPTN, sedangkan Karen masih duduk di bangku SMA Negeri Cinta. Perpisahan yang sementara ini membuat Karen dan Candra tetap saling mencintai dan saling berkomunikasi.

Tanpa terduga, kisah cinta mereka akhirnya terkikis karena kebrengsekan seorang Candra muncul kembali. Rupanya, Candra mulai tergoda dengan gadis bernama Aisyah yang sangat mendukung dan sangat mengidolakan ketampanan Candra. Candra yang sudah berjanji setia akhirnya mulai tergoda. Suatu ketika, Candra tersadarkan karena Aisyah ternyata sudah punya pacar dan menganggap Candra hanyalah sebatas teman. Kesedihan dan penyesalan menghantui Candra yang takut jika Karen sudah mengetahuinya dan akhirnya kecewa dengan Candra.

Namun, siapa sangka!? Ternyata Karen masih menerima Candra dengan sepenuh hati karena Candra berhasil berubah menjadi berani jujur dan terbuka dari yang sebelumnya pembohong dan brengsek. Akhirnya, kesalahan Candra yang sekotor koruptor tersebut dihapus dengan pertobatan dan meninggalkan sikap kebrengsekannya yang membuat hubungan mereka berdua menjadi bersatu kembali. (ini bukan curhat)

Pernyataan berikut yang sesuai dengan isi teks, yaitu ....",3,3,114
1,502,PK,Berapa kg pupuk yang mengandung 40% nitrogen yang harus ditambah pada 250 kg pupuk yang mengandung 25% nitrogen agar tercapai campuran pupuk yang mengandung 30% nitrogen,2,0,67
1,206,PBM,".... (8) Sementara itu, terkait pertumbuhan konsumsirumah tangga, pemerintah Indonesia telahberhasil menjaga pertumbuhan komponen ini dikisaran 5 persen. (9) Kondisi ini dapat terealisasi karena pemerintah mampu menjaga angka inflasi di bawah angka 4 persen sesuai dengan target APBN. (10) Terlebih lagi, menjelang Hari Raya Idul Fitri, pemerintah mampu menekan kenaikan harga-harga bahan pangan sehingga mampu meredam angka inflasi.

Kata kondisi ini pada kalimat 9 merujuk pada",0,3,78
1,285,PPU,"(1)Teknologi modifikasi cuaca [...] beberapa hari terakhir di daerah tangkapan air Danau Toba. (2)Curah hujan mulai meningkat, tetapi tinggi muka air Danau Toba masih terus menurun. (3)[...] tinggi muka air [...] banyak dermaga tidak bisa digunakan, PLTA terancam berhenti beroperasi, irigasi terganggu, pasokan air baku rumah tangga dan industri berkurang, serta pariwisata terancam. (4)Level tinggi muka air (TMA) Danau Toba per Selasa (6/4/2021) pun sudah [...] 903,175 meter di atas permukaan laut (mdpl). (5)""Teknologi modifikasi cuaca diterapkan untuk [...] penurunan TMA Danau Toba agar tidak sampai ke level batas minimum, yakni 902,40 mdpl"", kata Koordinator Lapangan Teknologi Modifikasi Cuaca Daerah Aliran Sungai (DAS) Danau Toba Cornelius A Nababan, Rabu (7/4/2021). (6)Teknologi modifikasi cuaca dilakukan dengan mensemprotkan bahan semai flare cosat berupa kalsium klorida dan magnesium klorida dari bawah atau atas awan. (7)Metode ini berbeda dengan [...] garam (NaCl) ke punggung awan yang biasa digunakan dalam menangani kebakaran hutan.

Asas paralelisme atau kesejajaran bentuk pada teks di atas ditemukan pada...",1,3,113
1,129,PU,"Kekurangan vitamin D dapat menyebabkan terjadinya osteoporosis pada usia lanjut. Penelitian menunjukkan bahwa wanita yang memasuki masa menopause memiliki risiko lebih besar terkena gangguan tulang dan sendi dibandingkan yang belum menopause.

Manakah simpulan yang PALING DIDUKUNG oleh bacaan tersebut",2,2,56
1,409,PPU,"Kisah para bandit dalam revolusi Indonesia ini seperti lembaran hitam dan tenggelam dalam keseluruhan cerita heroik tentang masa itu di beberapa daerah di Indonesia. Istilah bandit memiliki banyak sebutan untuk menyebutkan nama bagi mereka yang melakukan tindakan kriminal. Di masa revolusi, seperti ditunjukkan oleh Julianto, memang tidak semua pejuang adalah bandit atau tidak semua bandit adalah pejuang. Ada pejuang yang sungguh-sungguh berjuang atau bandit yang memang membandit selama masa revolusi ini. 

Adapun yang menjadi latar belakang para bandit-bandit revolusi ini melakukan penggrayakan, penggedoran, penggarongan, dan penculikan adalah karena alasan politik, di samping juga ekonomi. Alasan politik dari aksi pemberontakan para bandit itu adalah penolakan terhadap kebijakan rasionalisasi pemerintahan Hatta dan kekecewaan mereka terhadap pembersihan orang-orang komunis setelah peristiwa Madiun 1948. Hal ini muncul karena adanya kebencian Hatta terhadap kaum komunis. Kebijakan yang memangkas sejumlah tentara memang telah menimbulkan kegoncangan di kalangan pejuang dan para laskar.

Sasaran dari kebijakan ini terutama adalah badan-badan perjuangan atau laskar-laskar yang tidak berdisiplin, pantang menyerah, dan tunduk begitu saja pada kebijakan ini. Para anggota badan perjuangan dan laskar-laskar inilah yang menjadi inti dari berbagai kelompok atau gerombolan benggol yang berada di sekiat Surakarta dan melakukan aksi-aksi penggedoran, penjarahan, dan pengeroyokan. Rasionalisasi telah memulangkan tentara ke masyarakat sebanyak 100.000 orang dari jumlah 463.000 tentara dan memberhentikan 80.000 tentara yang dianggap tidak profesional.

Penyebab munculnya konflik yang terdapat pada teks tersebut adalah",0,3,20
1,305,PPU,"(1) Ilmuwan yang bekerja di wilayah Antartika telah menemukan sejenis rumput laut baru.
(2) Rumput laut itu hidup di perairan dalam, yakni di kedalaman sekitar 100 meter di bawah permukaan Antartika.
(3) Dikutip dari Independent, rumput laut tersebut ditemukan oleh tim yang bekerja di Stasiun Penelitian Rothera di Pulau Adelaide, lepas Semenanjung Antarktika barat daya.
(4) Penemuan rumput laut yang diberi nama Palmaria decipiens ini pun, menurut peneliti, penting untuk memajukan pengetahuan mengenai Antartika.
(5) Menurutnya, rumput laut ini memiliki potensi untuk memainkan peran besar dalam melindungi lingkungan dengan menyimpan karbon di dasar lautan saat mereka mati dan mengurangi pengasaman laut.
(6) Rumput laut tersebut juga bisa menjadi sumber makanan penting bagi banyak hewan dan ikan, termasuk orang-orang yang tinggal di pesisir selama berabad-abad.

Berikut kata yang merupakan persamaan dari kata potensi pada paragraf 2, KECUALI ....",3,1,66
