ID_USER,ID_QUESTION,Question_Category,Question_Description,USER_ANSWER,CORRECT_ANSWER,Duration
1,1095,PM,"Fungsi f dan g didefinisikan sebagai berikut:
f(x) = x

2 + 4x + 2 dan g(x) = x + 6

Absis terkecil semua titik potong grafik fungsi f dan g adalah...",1,1,40
1,754,EN,"After rising steadily for almost a century, standards of education in the public schools of Europe and North America have leveled off, and in the opinion of many parents and employers, are actually falling. More and more children are leaving school with little more than basic knowledge of reading, writing, and arithmetic, and illiteracy is becoming a social problem once again. With dropout rates of twenty-seven percent in high school and fifty percent in colleges, the American education system is clearly in trouble; European dropout rates, though lower than those of U.S., are rising too. Various factors have been blamed for the apparent decline in educational standards. Some people say that over-crowding and lack of discipline are major factors. Others maintain that subjects like art and drama have been overemphasized at the expense of more practical subjects. The negative influence of television is frequently mentioned as a reason for growing illiteracy. Many teachers and principals, however, insist that the problem is not of falling standards but of rising expectations on the part of parents and employers. Whether or not standards in public schools are actually falling, many parents feel that the only way to secure a good education for their children is to send them to private schools, which generally have smaller classer and stricter discipline. The popularity of such schools is going steadily, despite the high tuition fees. In the United States, for example, eleven percent of all school children attend private schools; in France, over sixteen percent do so.
These following statements are true, except. ",2,2,37
1,869,EN,"As spring arrives, Albeit quite late thus year for many of us, we notice the changing of seasons not only by the weather, but also by a host of natural events. Depending on where you live, the flowers may poke through the snow, the birds may be back, or the cherry trees may bloom. There is an orderly sequence of events that seem to occur, with various spring flowers appearing in order, red maple buds bursting into new leaves, or the old lilac by the barn scenting the air. This seasonal cycle of natural phenomena is called phenology. Global climate change appears to be interfering with the phenology of many species, at the very heart of species interactions. 
In temperate regions like the northern half of the United States, there is comparatively little biological activity in winter. Most plants are dormant, and so are the insects feeding on them. In turn, animals that rely on these insects, such as bats and birds, are hibernating or spending the cold months in more southerly locations. Ectotherms like reptiles and amphibians, which take their body warmth from their environment, also have active phases tied to the seasons. This long winter period constrains all the growing, breeding, and dispersing activities that plants and animals do to a short favorable window. That is what makes spring so vibrant, with plants flowering and putting on new growth, insects emerging and breeding, and birds flying back to take advantage of this shortlived bounty. The onsets of each of these activities add up to so many phonological markers. 
Different organism respond to different cues to initiate seasonal activities. Many plants will start growing leaves again after a set period of dormancy, which very roughly dictates the leaf-out window. Cues that more precisely determine when the buds break can be soil temperature, air temperature, or water availability. Similarly, temperature cues can promote the beginning of insect activity. Day length itself can be the operative trigger for some seasonal events. It is only when there are a sufficient number of daylight hours that reproductive hormones will be produced in many bird species.
The most energy-demanding period in the life of most animals is when they reproduce. For that reason, it is to their advantage to coincide breeding (and for many the raising of young) during a period when food is most abundant. Caterpillars should hatch just as the young tender leaves of oak tree emerge, before they harden and become less nutritious. Breeding songbirds need to time the hatching of their young just during that peak in caterpillar activity, so thay can take advantage of this rich source of protein to feed their offspring. Many species have evolved to exploit peaks in resource availability, so all these seemingly independent phonological events are indeed part of a complex web of precise interactions. Disturbances in seasonal events can have profound effects on ecosystems.

The author's attitude towards the seasonal cycle of natural events is .... ",3,2,52
1,1168,PM,"Fungsi f dan g didefinisikan sebagai berikut:
f(x) = x

2 + 4x + 2 dan g(x) = x + 6

Absis terkecil semua titik potong grafik fungsi f dan g adalah...",3,1,36
1,924,PM,"Pada negara bagian Venezuela, 26 siswa kelas 9 telah disurvey. Hasilnya, 34,6% siswa setidaknya memiliki 2 saudara, Panjang kelas (class size) rata-rata dari kelas 9 di negara bagian Venezuela adalah 26.

Jika murid dari kelas tersebut merepresentasikan semua siswa kelas 9 di negara bagian Venezuela dan terdapat 1.800 siswa kelas 9 di negara bagian tersebut.

Manakah diantara pilihan berikut yang paling mendekati jumlah siswa kelas 8 yang memiliki kurang dari 2 saudara",1,1,72
1,907,PM,"Dalam suatu kelas terdapat 12 murid laki-laki dan 16 murid perempuan. Rata-rata nilai ulangan Matematika di kelas tersebut adalah 80. Setelah melihat hasil tersebut, guru Matematika memberikan kesempatan kepada 4 murid, dengan nilai masing-masing 52, 56, 62, dan 66, untuk melakukan remedial. Diketahui bahwa nilai rata-rata peserta remedial naik 7 poin.

Akan dipilih pengurus inti kelas yang terdiri dari 5 murid. Peluang kelas memiliki satu atau dua murid laki-laki sebagai anggota pengurus inti adalah",3,2,15
1,780,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
About e-learning, the statement which is NOT correct is",2,3,19
1,1056,PM,"Fungsi f dan g didefinisikan sebagai berikut:
f(x) = x

2 + 4x + 2 dan g(x) = x + 6

Absis terkecil semua titik potong grafik fungsi f dan g adalah...",0,1,29
1,990,PM,"Jika 3a + 2b = 21, berapa nilai b?

(1)3a = 5b
(2)b merupakan bilangan bulat positif",3,1,63
1,1113,PM,"Fungsi f dan g didefinisikan sebagai berikut:
f(x) = x

2 + 4x + 2 dan g(x) = x + 6

Absis terkecil semua titik potong grafik fungsi f dan g adalah...",2,1,19
2,929,PM,"In the coordinate plane, line g passes through the origin and perpendicular to a line that has slope -3. If points (-6, b) and (a, 1) are on line g, then the value of a – b is ….",1,1,88
2,778,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
How does the author organize the ideas in paragraphs 1 and 2?",3,3,37
