ID_USER,ID_QUESTION,Question_Category,Question_Description,USER_ANSWER,CORRECT_ANSWER,Duration
1,552,PK,"Pada pukul 10 bayangan sebuah pohon yang tinggi 30 m adalah 14 m, pada saat sama tinggi gedung yang bayangannya 21 m adalah ",3,3,48
1,13,PU,Lawan kata canggih,2,3,101
1,561,PK,"1 < a < 6 –2 < b < 2, maka nilai ab",0,2,87
1,587,PK,"3x + 4y = −2
2y − x = −19

What is the solution (x,y) to the system of equations above",2,1,48
1,578,PK,"Berapa kisaran dari himpunan S bila
(1) Median dari S adalah 12
(2) Suku terkecil dari S merupakan bilangan prima terkecil dan suku terbesar dari S sama dengan kuadrat dari suku pertama dikali 7",3,1,95
1,90,PU,"(1) Dengan peningkatan produksi dan perbaikan distribusi, maka pertumbuhan ekonomi yang tinggi dapat tercapai tanpa mengorbankan stabilitas harga. (2) Dengan meningkatnya kapasitas perekonomian tersebut menyebabkan tekanan terhadap inflasi akan bekurang sehingga inflasi terus menurun. (3) Inflasi yang rendah dan adanya rencana kenaikan upah berakibat pada daya beli riil masyarakat yang meningkat sehingga konsumsi swasta diperkirakan akan tetap tumbuh dari tahun ke tahun. (4) Pertumbuhan konsumsi swasta tiga tahun terakhir dapat dilihat pada tabel berikut. (5) Sementara itu, dengan daya saing yang meningkat akan berdampak pada tetap tingginya kinerja ekspor. (6) Berbagai pembenahan struktural dilaksanakan pemerintah, seperti perbaikan infrastruktur, perizinan, bea cukai, dan perpajakan diperkirakan memberikan dukungan yang cukup signifikan dalam meningkatkan daya saing produk ekspor Indonesia.

(7) Meski prediksi melambatnya pertumbuhan ekonomi dunia akan berdampak kontradiktif kepada kinerja ekspor Indonesia, harga komoditas yang tetap tinggi dan negara tujuan ekspor yang lebih terdiverivikasi diperkirakan masih akan menghasilkan dampak positif bagi produk ekspor Indonesia. (8) Impor diprediksi juga tumbuh tinggi(14,5%-15,5%) sebagai akibat kuatnya permintaan domestik. (9) Kondisi diatas menyebabkan neraca transaksi akan tetappberada dalam kondisi surolus namun dengan nilai surplus yang terus mengecil. (10) Meskipun surplus neraca transaksi berjalan semakin kecil, namun tingginya aliran masuk FDI diprediksi akan mampu membawa neraca pembayaran dalam kondisi mantap sehingga nilai tukar akan cenderung stabil. (11) pada akhirnya sinergi antara stabilitas ekonomi makro dan perbaikan sisi penawaran diprediksi akan berkontribusi pada peningkatan kesejahteraan masyarakat. (12) Pertumbuhan ekonomi yang diperkirakan tinggi akan mampu menyerap tambahan tenaga kerja sehingga mengurangi pengangguran yang ada. (13) Meningkatnya penyerapan tenaga kerja dibarengi dengan inflasi yang terus menerus berdampak pada pengangguran tingkat kemiskinan.

Kalimat yang tidak efektif terdapat pada",1,3,41
1,437,PPU,"Laporan keuangan perusahaan X yang bergerak dalam bidang industri otomotif menunjukkan biaya operasional yang berlebihan pada tahun ini. Manajer Keuangan perusahaan tersebut menyatakan bahwa keberadaan tenaga ahli asing menjadi penyebab pemborosan anggaran.
Manakah pernyataan berikut yang akan MEMPERKUAT argumen Manajer Keuangan tersebut?",2,1,61
1,280,PPU,Bentuk akronim terdapat dalam kalimat ...,2,2,111
1,308,PPU,"(1) Ilmuwan yang bekerja di wilayah Antartika telah menemukan sejenis rumput laut baru.
(2) Rumput laut itu hidup di perairan dalam, yakni di kedalaman sekitar 100 meter di bawah permukaan Antartika.
(3) Dikutip dari Independent, rumput laut tersebut ditemukan oleh tim yang bekerja di Stasiun Penelitian Rothera di Pulau Adelaide, lepas Semenanjung Antarktika barat daya.
(4) Penemuan rumput laut yang diberi nama Palmaria decipiens ini pun, menurut peneliti, penting untuk memajukan pengetahuan mengenai Antartika.
(5) Menurutnya, rumput laut ini memiliki potensi untuk memainkan peran besar dalam melindungi lingkungan dengan menyimpan karbon di dasar lautan saat mereka mati dan mengurangi pengasaman laut.
(6) Rumput laut tersebut juga bisa menjadi sumber makanan penting bagi banyak hewan dan ikan, termasuk orang-orang yang tinggal di pesisir selama berabad-abad.

Apabila dikaitkan dengan paragraf 1, fungsi dari paragraf 2 pada teks tersebut adalah...",2,0,42
1,315,PPU,"Anggaran Negara di Dunia Tangani Covid-19

Pandemi Covid-19 diperkirakan menyebabkan perlambatan ekonomi di sejumlah negara. The Economist Intelligence Unit (EIU) memprediksi perekonomian global akan mengalami pertumbuhan minus hingga 2,2% pada tahun ini. Guna mengantisipasi resesi, sejumlah negara menyiapkan stimulus fiskal untuk mempertahankan perekonomiannya. Indonesia bersiap menggelontorkan Rp436,1 triliun atau 2,5 persen terhadap Produk Domestik Bruto (PDB). Pemerintah menggunakannya untuk program percepatan belanja Anggaran Pendapatan dan Belanja Negara (APBN). Kebijakan yang diterapkan berupa pemberian bantuan sosial dan kartu prakerja serta insentif pajak. Lebih dari setengah anggaran itu dimanfaatkan guna menangani Covid-19.

“Kami akan mati-matian mencegah tidak terjadi krisis keuangan yang bisa mengubah penghitungan dengan memperkuat koordinasi, agar defisit bisa lebih kecil,” ujar Menteri Keuangan Sri Mulyani Indrawati. Singapura, Jerman, Jepang, dan Amerika Serikat juga telah memutuskan untuk menambah anggarannya dalam penanganan Covid-19. Singapura akan memberikan 59,9 miliar dolar Singapura untuk bantuan sosial dan perlindungan pekerja, insentif pajak, jaminan modal UKM, dan bantuan pekerja mandiri. Jerman dan Jepang bersiap mengalokasikan Rp13.125 triliun (10 persen PDB) dan Rp16.308 triliun (20 persen PDB). Jerman menggunakan anggaran tersebut untuk bantuan, pinjaman modal, penangguhan pajak perusahaan, dan subsidi gaji pekerja yang dirumahkan. Jepang menggunakannya untuk bantuan tunai rumah tangga, perlindungan pekerja dan pelaku bisnis, pinjaman sektor keuangan, dan masa tenggang pajak serta asuransi. Adapun Amerika Serikat tak ketinggalan dengan Rp32.800 triliun untuk bantuan tunai dan asuransi pekerja informal, pinjaman usaha, bantuan sektor keuangan, transportasi, dan fiskal negara.

Berdasarkan paragraf 1, manakah simpulan yang BENAR jika pemerintah tidak memberikan insentif pajak?",2,3,88
