ID,Question_Category,Questions_Descriptions,Choice_1,Choice_2,Choice_3,Choice_4,Right_Answer
601,BI,"Untuk kali pertama, ilmuwan telah menemukan bukti fisik opal di Mars. Jejak yang terdapat pada batu sebelumnya yang ditemukan di dalam meteorit Mars dapat membantu misi eksplorasi di masa depan untuk menentukan wilayah yang mungkin menyimpan bukti adanya tanda-tanda kehidupan di planet Merah tersebut. Opal itu ditemukan dalam pecahan meteorit Nakhla seberat 1,7 gram, meteorit yang dipasok oleh Natural History Museum di London. Meteorit Nakhla sendiri jatuh di Nakhla, Mesir, pada tahun 1911. Tim peneliti yang berasal dari University of Glasgow mengidentifikasi ciri dari batu permata itu sebagai batu permata berwarna oranye terang, kuning, dan merah. Profesor Martin Lee selaku ketua penelitian ini menjelaskan bahwa penemuan batu opal ini sangat penting bagi perkembangan penelitian Mars. ""Ini kali pertama ada benda dari Mars di Bumi yang mengandung opal,"" jelasnya kepada phys.org. Penemuan batu opal asal Mars diklaim sebagai pencapaian besar. Itu terjadi karena batu opal diketahui bisa menyimpan fosil makhluk hidup dan biasa terbentuk di sekitar sumber air panas yang digemari mikroba. Layaknya di Bumi, batu opal terbentuk di sekitar sumber air panas. Dalam situasi itu, akan hidup mikroba. Batuan opal biasanya menangkap dan mengurung mikroba selama jutaan. tahun. ""Jika memang ada mikroba di Mars, bisa jadi mereka terperangkap di dalam batu opal ini,"" harap Lee. Dikutip dari: nationalgeographic.grid.id
Berdasarkan bacaan tersebut, apa fakta yang disorot oleh Martin Lee?",Adanya kehidupan mikroba di dalam opal. ,Keberadaan opal menunjukkan adanya tanda-tanda makhluk hidup. ,Penemuan opal dari meteorit Mars yang ada di Bumi untuk pertama kali.,Keberadaan opal di Mara untuk pertama kali. ,2
602,BI,"Untuk kali pertama, ilmuwan telah menemukan bukti fisik opal di Mars. Jejak yang terdapat pada batu sebelumnya yang ditemukan di dalam meteorit Mars dapat membantu misi eksplorasi di masa depan untuk menentukan wilayah yang mungkin menyimpan bukti adanya tanda-tanda kehidupan di planet Merah tersebut. Opal itu ditemukan dalam pecahan meteorit Nakhla seberat 1,7 gram, meteorit yang dipasok oleh Natural History Museum di London. Meteorit Nakhla sendiri jatuh di Nakhla, Mesir, pada tahun 1911. Tim peneliti yang berasal dari University of Glasgow mengidentifikasi ciri dari batu permata itu sebagai batu permata berwarna oranye terang, kuning, dan merah. Profesor Martin Lee selaku ketua penelitian ini menjelaskan bahwa penemuan batu opal ini sangat penting bagi perkembangan penelitian Mars. ""Ini kali pertama ada benda dari Mars di Bumi yang mengandung opal,"" jelasnya kepada phys.org. Penemuan batu opal asal Mars diklaim sebagai pencapaian besar. Itu terjadi karena batu opal diketahui bisa menyimpan fosil makhluk hidup dan biasa terbentuk di sekitar sumber air panas yang digemari mikroba. Layaknya di Bumi, batu opal terbentuk di sekitar sumber air panas. Dalam situasi itu, akan hidup mikroba. Batuan opal biasanya menangkap dan mengurung mikroba selama jutaan. tahun. ""Jika memang ada mikroba di Mars, bisa jadi mereka terperangkap di dalam batu opal ini,"" harap Lee. Dikutip dari: nationalgeographic.grid.id
Bagaimanakah peneliti bisa menemukan bukti fisik opal di Mars? ",Dari pecahan meteorit Mars yang jatuh di Nakhla ,Dari mikroba yang terjebak di dalam opal ,Di sekitar sumber air panas di Mars ,Dari perangkap mikroba yang dibuat di Mars ,0
603,BI,"Untuk kali pertama, ilmuwan telah menemukan bukti fisik opal di Mars. Jejak yang terdapat pada batu sebelumnya yang ditemukan di dalam meteorit Mars dapat membantu misi eksplorasi di masa depan untuk menentukan wilayah yang mungkin menyimpan bukti adanya tanda-tanda kehidupan di planet Merah tersebut. Opal itu ditemukan dalam pecahan meteorit Nakhla seberat 1,7 gram, meteorit yang dipasok oleh Natural History Museum di London. Meteorit Nakhla sendiri jatuh di Nakhla, Mesir, pada tahun 1911. Tim peneliti yang berasal dari University of Glasgow mengidentifikasi ciri dari batu permata itu sebagai batu permata berwarna oranye terang, kuning, dan merah. Profesor Martin Lee selaku ketua penelitian ini menjelaskan bahwa penemuan batu opal ini sangat penting bagi perkembangan penelitian Mars. ""Ini kali pertama ada benda dari Mars di Bumi yang mengandung opal,"" jelasnya kepada phys.org. Penemuan batu opal asal Mars diklaim sebagai pencapaian besar. Itu terjadi karena batu opal diketahui bisa menyimpan fosil makhluk hidup dan biasa terbentuk di sekitar sumber air panas yang digemari mikroba. Layaknya di Bumi, batu opal terbentuk di sekitar sumber air panas. Dalam situasi itu, akan hidup mikroba. Batuan opal biasanya menangkap dan mengurung mikroba selama jutaan. tahun. ""Jika memang ada mikroba di Mars, bisa jadi mereka terperangkap di dalam batu opal ini,"" harap Lee. Dikutip dari: nationalgeographic.grid.id
Pernyataan yang sesuai dengan informasi dalam bacaan tersebut adalah, kecuali",Opal dapat membantu peneliti memetakan daerah yang bisa saja memiliki tanda-tanda kehidupan di Mars ,Opal bisa menunjang misi eksplorasi wilayah Mars di masa depan,Opal biasanya mengurung mikroba selama jutaan tahun ,"Opal yang ditemukan dalam meteorit itu memiliki berat 1,7 gram",3
604,BI,"(1) Film ""Penyalin Cahaya"" berhasil memboyong penghargaan tertinggi Malam Anugerah Piala Citra Festival Film Indonesia (FFI) 2021 sebagai Film Cerita Panjang Terbaik. (2) ""Penyalin Cahaya"" juga menjadi juara umum dalam Festival Film Indonesia (FFI) 2021 dengan mengumpulkan 12 Piala Citra dari 17 nominasi yang diterima. (3) Dalam kategori tersebut, ""Penyalin Cahaya"" berhasil mengalahkan ""Ali & Ratu Ratu Queens"". (4) Kemenangan film ini dibacakan oleh Mendikbudristek RI, Nadiem Makarim. (5) Sebelumnya, sutradara Wregas Bhanuteja mendedikasikan film ""Penyalin Cahaya"" sebagai media untuk mengungkapkan isu kekerasan seksual yang selama ini ditutup-tutupi masyarakat Indonesia. (6) la memandang film adalah sarana komunikasi yang paling efisien untuk menyuarakan sebuah kegelisahan yang sedang terjadi di masyarakat. (7) Salah satunya isu kekerasan seksual yang menjadi tema dalam film ""Penyalin Cahaya"". 88 Menurutnya, banyak sekali penyintas yang tidak mendapat keadilan.
Kata ini pada frasa film ini merujuk pada",Nadiem Makarim ,Penyalin Cahaya,Wregas Bhanuteja,Festival Film Indonesia ,1
605,BI,"(1) Film ""Penyalin Cahaya"" berhasil memboyong penghargaan tertinggi Malam Anugerah Piala Citra Festival Film Indonesia (FFI) 2021 sebagai Film Cerita Panjang Terbaik. (2) ""Penyalin Cahaya"" juga menjadi juara umum dalam Festival Film Indonesia (FFI) 2021 dengan mengumpulkan 12 Piala Citra dari 17 nominasi yang diterima. (3) Dalam kategori tersebut, ""Penyalin Cahaya"" berhasil mengalahkan ""Ali & Ratu Ratu Queens"". (4) Kemenangan film ini dibacakan oleh Mendikbudristek RI, Nadiem Makarim. (5) Sebelumnya, sutradara Wregas Bhanuteja mendedikasikan film ""Penyalin Cahaya"" sebagai media untuk mengungkapkan isu kekerasan seksual yang selama ini ditutup-tutupi masyarakat Indonesia. (6) la memandang film adalah sarana komunikasi yang paling efisien untuk menyuarakan sebuah kegelisahan yang sedang terjadi di masyarakat. (7) Salah satunya isu kekerasan seksual yang menjadi tema dalam film ""Penyalin Cahaya"". 88 Menurutnya, banyak sekali penyintas yang tidak mendapat keadilan.
Kelemahan teks di atas adalah",Teks tidak mengungkapkan kaitan antara sutradara dan Festival Film Indonesia 2021,"Teks tidak menyajikan data penghargaan yang didapat film ""Penyalin Cahaya"".","Teks tidak menyebutkan waktu dan lokasi peluncuran film ""Penyalin Cahaya"". ","Terbatasnya informasi mengenai tujuan produksi film ""Penyalin Cahaya"" ",2
606,BI,"Buku Lincoln the Unknown mengajarkan banyak hal bagi kehidupan Anda dan telah dialami secara pribadi oleh tokoh terkenal dunia, Abraham Lincoln. Pada awal masa karirnya Lincoln adalah seorang ahli kritik dan ahli surat maupun puisi ejekan terhadap orang-orang yang dianggap sebagai lawan. Kemudian surat tersebut dengan sengaja dijatuhkan di jalan-jalan pusat kota agar menarik perhatian. Tak lama kemudian muncullah kemarahan dari seluruh penjuru negeri hingga bertahun-tahun lamanya. Sampai akhirnya Lincoln telah menjadi seorang ahli hukum di wilayah Illinois dan membiarkan kebiasaan mengejek tersebut. Sampai akhirnya puncak kemarahan itu terjadi di tahun 1842, ketika Lincoln mengejek seorang politikus bernama James Shields melalui sepucuk surat. Shields yang marah dan merasa terhina mengajak Lincoln untuk bertarung sampai mati. Kemudian Lincoln belajar menggunakan pedang jenis kavaleri. Sampai akhirnya tiba waktu yang ditentukan dan duel sengit pun terjadi. Keduanya hendak melanjutkan pertarungan hingga akhir, tetapi dihentikan oleh para pendukung keduanya kala itu.
Simpulan yang tepat untuk paragraf ketiga pada teks di atas adalah",Shields merasa terhina oleh kritikan Lincoln.,Kemarahan Shields menyebabkan pertarungan.,Persiapan Lincoln dalam menghadapi pertarungan lebih matang. ,Pertarungan antara Shield dan Lincoln tidak berlangsung hingga akhir ,3
607,BI,"Buku Lincoln the Unknown mengajarkan banyak hal bagi kehidupan Anda dan telah dialami secara pribadi oleh tokoh terkenal dunia, Abraham Lincoln. Pada awal masa karirnya Lincoln adalah seorang ahli kritik dan ahli surat maupun puisi ejekan terhadap orang-orang yang dianggap sebagai lawan. Kemudian surat tersebut dengan sengaja dijatuhkan di jalan-jalan pusat kota agar menarik perhatian. Tak lama kemudian muncullah kemarahan dari seluruh penjuru negeri hingga bertahun-tahun lamanya. Sampai akhirnya Lincoln telah menjadi seorang ahli hukum di wilayah Illinois dan membiarkan kebiasaan mengejek tersebut. Sampai akhirnya puncak kemarahan itu terjadi di tahun 1842, ketika Lincoln mengejek seorang politikus bernama James Shields melalui sepucuk surat. Shields yang marah dan merasa terhina mengajak Lincoln untuk bertarung sampai mati. Kemudian Lincoln belajar menggunakan pedang jenis kavaleri. Sampai akhirnya tiba waktu yang ditentukan dan duel sengit pun terjadi. Keduanya hendak melanjutkan pertarungan hingga akhir, tetapi dihentikan oleh para pendukung keduanya kala itu.
Permasalahan yang dibahas di dalam teks di atas adalah",pertarungan Lincoln dan Shields,akibat dari mengkritik seseorang,tokoh yang dihina oleh Abraham Lincoln ,tokoh yang dihina oleh Abraham Lincoln ,3
608,BI,"Buku Lincoln the Unknown mengajarkan banyak hal bagi kehidupan Anda dan telah dialami secara pribadi oleh tokoh terkenal dunia, Abraham Lincoln. Pada awal masa karirnya Lincoln adalah seorang ahli kritik dan ahli surat maupun puisi ejekan terhadap orang-orang yang dianggap sebagai lawan. Kemudian surat tersebut dengan sengaja dijatuhkan di jalan-jalan pusat kota agar menarik perhatian. Tak lama kemudian muncullah kemarahan dari seluruh penjuru negeri hingga bertahun-tahun lamanya. Sampai akhirnya Lincoln telah menjadi seorang ahli hukum di wilayah Illinois dan membiarkan kebiasaan mengejek tersebut. Sampai akhirnya puncak kemarahan itu terjadi di tahun 1842, ketika Lincoln mengejek seorang politikus bernama James Shields melalui sepucuk surat. Shields yang marah dan merasa terhina mengajak Lincoln untuk bertarung sampai mati. Kemudian Lincoln belajar menggunakan pedang jenis kavaleri. Sampai akhirnya tiba waktu yang ditentukan dan duel sengit pun terjadi. Keduanya hendak melanjutkan pertarungan hingga akhir, tetapi dihentikan oleh para pendukung keduanya kala itu.
Kalimat yang mengandung makna dari kata sengit pada bacaan di atas adalah","Karena dimasak terlalu lama, makanan itu menjadi hangus",Wajahnya tampak bengis ketika sedang menahan amarah.,Kehidupan yang dijalani di usia 25 tahun terasa sangat keras,Kejadian bencana seminggu yang lalu dirasa sangat dahsyat. ,3
609,BI,"Buku Lincoln the Unknown mengajarkan banyak hal bagi kehidupan Anda dan telah dialami secara pribadi oleh tokoh terkenal dunia, Abraham Lincoln. Pada awal masa karirnya Lincoln adalah seorang ahli kritik dan ahli surat maupun puisi ejekan terhadap orang-orang yang dianggap sebagai lawan. Kemudian surat tersebut dengan sengaja dijatuhkan di jalan-jalan pusat kota agar menarik perhatian. Tak lama kemudian muncullah kemarahan dari seluruh penjuru negeri hingga bertahun-tahun lamanya. Sampai akhirnya Lincoln telah menjadi seorang ahli hukum di wilayah Illinois dan membiarkan kebiasaan mengejek tersebut. Sampai akhirnya puncak kemarahan itu terjadi di tahun 1842, ketika Lincoln mengejek seorang politikus bernama James Shields melalui sepucuk surat. Shields yang marah dan merasa terhina mengajak Lincoln untuk bertarung sampai mati. Kemudian Lincoln belajar menggunakan pedang jenis kavaleri. Sampai akhirnya tiba waktu yang ditentukan dan duel sengit pun terjadi. Keduanya hendak melanjutkan pertarungan hingga akhir, tetapi dihentikan oleh para pendukung keduanya kala itu.
Pernyataan berikut yang sesuai dengan bacaan di atas adalah",Lincoln mengawali karier sebagai ahli kritik untuk pemerintah. ,James Shields adalah politikus yang berkarier dari tahun 1842.,Cara Lincoln untuk mengambil perhatian publik sangat menarik. ,Ketegangan antara Lincoln dan Shields disebabkan oleh sepucuk surat. ,3
610,BI,"Buku Lincoln the Unknown mengajarkan banyak hal bagi kehidupan Anda dan telah dialami secara pribadi oleh tokoh terkenal dunia, Abraham Lincoln. Pada awal masa karirnya Lincoln adalah seorang ahli kritik dan ahli surat maupun puisi ejekan terhadap orang-orang yang dianggap sebagai lawan. Kemudian surat tersebut dengan sengaja dijatuhkan di jalan-jalan pusat kota agar menarik perhatian. Tak lama kemudian muncullah kemarahan dari seluruh penjuru negeri hingga bertahun-tahun lamanya. Sampai akhirnya Lincoln telah menjadi seorang ahli hukum di wilayah Illinois dan membiarkan kebiasaan mengejek tersebut. Sampai akhirnya puncak kemarahan itu terjadi di tahun 1842, ketika Lincoln mengejek seorang politikus bernama James Shields melalui sepucuk surat. Shields yang marah dan merasa terhina mengajak Lincoln untuk bertarung sampai mati. Kemudian Lincoln belajar menggunakan pedang jenis kavaleri. Sampai akhirnya tiba waktu yang ditentukan dan duel sengit pun terjadi. Keduanya hendak melanjutkan pertarungan hingga akhir, tetapi dihentikan oleh para pendukung keduanya kala itu.
Pernyataan yang tepat mengenai cara Lincoln untuk menarik perhatian publik adalah",Membuat surat ejekan untuk siapa saja yang dianggap sebagai lawan.,"Menjadi ahli kritik, ahli surat, dan membuat puisi ejekan untuk lawan. ","Menjadi ahli kritik, ahli surat, dan membuat puisi ejekan untuk lawan. ",Menjatuhkan surat-surat ejekan di jalan-jalan tengah kota. ,3
