ID,Question_Category,Questions_Descriptions,Choice_1,Choice_2,Choice_3,Choice_4,Right_Answer
1,PU,Berjalan : berlari,Berkendara,Jalan kaki,Kereta api,Mesin,3
2,PU,Lawan kata monoton,Bergerak-gerak,Berulang-ulang ,Berubah-ubah,Terus menerus,3
3,PU,Lawan kata Mutualisme,Amutualisme,Simbiosisme,Ekosistem,Parasitisme,3
4,PU,Padanan kata hipotesis,Sangkaan,Dugaan,Kesimpulan,Kesimpulan awal,3
5,PU,Padanan kata pailit,Pelit,Jahat,Bangkrut,Gagal,2
6,PU,Padanan kata kompensasi,Ancaman,Hukuman,Ganjaran,Imbalan,3
7,PU,Lawan kata deduksi,Konduksi,Induksi,Reduksi,Transduksi,1
8,PU,Flash disk : Data,Dompet : Uang,Komputer : Disket,Waktu : Arloji,Rokok : Asbak,0
9,PU,Sayur : Pasar,Buah : Kebun,Kue : Piring,Komputer : Kantor,Saham : Bursa,3
10,PU,Usaha untuk menentang dominasi kekuasaan,Makar,Membangkang,Kritik,Disosiasi,0
11,PU,Padanan kata absolut,Pasti,Kekang,Paksa,Mutlak,3
12,PU,Lawan kata aktif,Dinamis,Statis,Pasif,Inisiatif,2
13,PU,Lawan kata canggih,Ruwet,Kompleks,Berbelit-belit,Sederhana,3
14,PU,Lawan kata imigrasi,Migrasi,Emigrasi,Transmigrasi,Pemukiman,1
15,PU,Lawan kata penawaran,Permintaan,Pembelian,Pemesanan,Pengembalian,0
16,PU,"Semua komputer memiliki layar monitor.
TV memiliki layar monitor.",TV adalah komputer,Komputer adalah TV,Sebagian komputer adalah TV,Sebagian TV adalah komputer,2
17,PU,"Kesedihan membuat orang menangis.
Kebahagiaan sering membuat orang menangis.",Kebahagiaan selalu dirayakan orang dengan cara menangis.,Orang sedih jika menangis menjadi bahagia.,Orang dapat menangis saat sedih ataupun bahagia,Orang bahagia yang menangis akan berubah menjadi sedih.,2
18,PU,"Semua perempuan suka bunga mawar.
Semua bunga mawar berduri.",Semua perempuan takut duri.,Sebagian perempuan suka bunga anggrek.,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,Jika tidak berduri bunga mawar tidak disukai perempuan.,2
